val_loss,epoch,step,train_loss_epoch,train_loss_step
1.2265208959579468,0,3,,
,0,3,1.4977647066116333,
1.2048616409301758,1,7,,
,1,7,1.474786400794983,
1.1825140714645386,2,11,,
,2,11,1.4506759643554688,
1.1574145555496216,3,15,,
,3,15,1.425072193145752,
1.1274595260620117,4,19,,
,4,19,1.3960623741149902,
1.089681625366211,5,23,,
,5,23,1.3605014085769653,
1.0377053022384644,6,27,,
,6,27,1.3138961791992188,
0.9647457003593445,7,31,,
,7,31,1.2502483129501343,
0.8622239828109741,8,35,,
,8,35,1.1593283414840698,
0.7226256728172302,9,39,,
,9,39,1.0277825593948364,
0.5495479702949524,10,43,,
,10,43,0.8565017580986023,
0.3721066415309906,11,47,,
,11,47,0.6473181843757629,
,12,49,,0.5086610913276672
0.2395540326833725,12,51,,
,12,51,0.45005032420158386,
0.1746484339237213,13,55,,
,13,55,0.30578726530075073,
0.1568944901227951,14,59,,
,14,59,0.23490722477436066,
0.1591854691505432,15,63,,
,15,63,0.20879583060741425,
0.16625265777111053,16,67,,
,16,67,0.2012804001569748,
0.1721717119216919,17,71,,
,17,71,0.20061156153678894,
0.17581535875797272,18,75,,
,18,75,0.20242103934288025,
0.1769048422574997,19,79,,
,19,79,0.20272615551948547,
0.17616868019104004,20,83,,
,20,83,0.2024633139371872,
0.1739724576473236,21,87,,
,21,87,0.20141519606113434,
0.17136359214782715,22,91,,
,22,91,0.20028817653656006,
0.1682358980178833,23,95,,
,23,95,0.19821597635746002,
,24,99,,0.19302313029766083
0.1650341898202896,24,99,,
,24,99,0.19653436541557312,
0.16181768476963043,25,103,,
,25,103,0.19459162652492523,
0.15875642001628876,26,107,,
,26,107,0.1930008977651596,
0.1559375375509262,27,111,,
,27,111,0.19130025804042816,
0.15339143574237823,28,115,,
,28,115,0.1888050138950348,
0.15107503533363342,29,119,,
,29,119,0.1872483342885971,
0.1488153487443924,30,123,,
,30,123,0.18515323102474213,
0.14692865312099457,31,127,,
,31,127,0.1825503557920456,
0.1450078934431076,32,131,,
,32,131,0.17992934584617615,
0.14276690781116486,33,135,,
,33,135,0.17791570723056793,
0.14046898484230042,34,139,,
,34,139,0.17544415593147278,
0.13820725679397583,35,143,,
,35,143,0.17274950444698334,
0.13608863949775696,36,147,,
,36,147,0.17036661505699158,
,37,149,,0.15865273773670197
0.13433803617954254,37,151,,
,37,151,0.16782043874263763,
0.13237430155277252,38,155,,
,38,155,0.16484129428863525,
0.13046179711818695,39,159,,
,39,159,0.16205544769763947,
0.12837670743465424,40,163,,
,40,163,0.1593746691942215,
0.1260644644498825,41,167,,
,41,167,0.1564653068780899,
0.12364288419485092,42,171,,
,42,171,0.15328143537044525,
0.1215684786438942,43,175,,
,43,175,0.15097086131572723,
0.11970601230859756,44,179,,
,44,179,0.14790157973766327,
0.11786536127328873,45,183,,
,45,183,0.14616148173809052,
0.11634218692779541,46,187,,
,46,187,0.14330628514289856,
0.11501214653253555,47,191,,
,47,191,0.1406080573797226,
0.11364120244979858,48,195,,
,48,195,0.13797570765018463,
,49,199,,0.11835716664791107
0.11233542859554291,49,199,,
,49,199,0.13622114062309265,
